Date,Cell,AgeGroup,Treatment,Age,Sex
2016_10_19,16o19.P3,PND14,EtOH[50mM],13,M
2016_10_19,16o19.P6,PND14,EtOH[50mM],13,M
2016_10_20,16o20.P2,PND14,EtOH[50mM],14,M
2016_10_20,16o20.P3,PND14,EtOH[50mM],14,M
2016_10_21,16o21.P2,PND14,EtOH[50mM],15,F
2016_10_21,16o21.P3,PND14,EtOH[50mM],15,F
2016_12_11,16d11.P1,PND14,EtOH[50mM],14,M
2016_12_12,16d12.P1,PND14,EtOH[50mM],15,M
2016_12_12,16d12.P2,PND14,EtOH[50mM],15,M
2017_05_03,17503.P2,PND14,EtOH[50mM],13,F
2017_05_03,17503.P3,PND14,EtOH[50mM],13,F
2017_02_17,17217.P1,PND14,EtOH[100mM],15,M
2017_02_17,17217.P2,PND14,EtOH[100mM],15,M
2017_02_16,17216.P1,PND14,EtOH[100mM],14,F
2017_08_18,17818.P1,PND14,EtOH[100mM],14,M
2017_08_18,17818.P2,PND14,EtOH[100mM],14,M
2016_10_26,16o26.P1,PND21,EtOH[50mM],20,F
2016_10_26,16o26.P3,PND21,EtOH[50mM],20,F
2016_10_26,16o26.P4,PND21,EtOH[50mM],20,F
2016_11_02,16n02.P1,PND21,EtOH[50mM],20,F
2016_11_02,16n02.P2,PND21,EtOH[50mM],20,F
2016_11_02,16n02.P5,PND21,EtOH[50mM],20,F
2016_11_03,16n03.P2,PND21,EtOH[50mM],21,F
2016_11_03,16n03.P3,PND21,EtOH[50mM],21,F
2016_11_03,16n03.P4,PND21,EtOH[50mM],21,F
2016_11_03,16n03.P7,PND21,EtOH[50mM],21,F
2016_11_03,16n03.P8,PND21,EtOH[50mM],21,F
2017_05_11,17511.P2,PND21,EtOH[50mM],21,F
2017_05_11,17511.P3,PND21,EtOH[50mM],21,F
2017_01_04,17104.P1,PND21,EtOH[100mM],20,M
2017_01_06,17106.P2,PND21,EtOH[100mM],22,F
2017_01_06,17106.P3,PND21,EtOH[100mM],22,F
2017_01_06,17106.P5,PND21,EtOH[100mM],22,F
2017_01_18,17118.P1,PND21,EtOH[100mM],21,F
2017_02_23,17223.P1,PND21,EtOH[100mM],21,M
2017_04_12,17412.P3,PND21,EtOH[100mM],20,M
2017_07_13,17713.P2,PND21,EtOH[100mM],21,M
2017_07_13,17713.P1,PND21,EtOH[100mM],21,M
2016_11_09,16n09.P1,PND28,EtOH[50mM],27,F
2016_11_09,16n09.P2,PND28,EtOH[50mM],27,F
2016_11_09,16n09.P3,PND28,EtOH[50mM],27,F
2016_11_09,16n09.P4,PND28,EtOH[50mM],27,F
2017_05_18,17518.P4,PND28,EtOH[50mM],28,M
2016_11_04,16n04.P2,PND28,EtOH[50mM],30,M
2016_11_04,16n04.P3,PND28,EtOH[50mM],30,M
2017_02_09,17209.P1,PND28,EtOH[100mM],27,F
2017_02_09,17209.P2,PND28,EtOH[100mM],27,F
2017_02_09,17209.P3,PND28,EtOH[100mM],27,F
2017_02_10,17210.P1,PND28,EtOH[100mM],28,F
2017_04_19,17419.P3,PND28,EtOH[100mM],27,M
2017_04_20,17420.P3,PND28,EtOH[100mM],28,M
2017_05_18,17518.P2,PND28,EtOH[100mM],28,M
