"Slice","AgeGroup","Treatment","Date","Age","Sex","Weight","rSoln","xSoln","Cut.Time","Rig","HP","FirstIO","StimFile","StimMag","Comment","KO","mVmax","t_mVmax","LTD","Bl_slope","Bl_var","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"P14f-AP5F_1-AP02","PND14","AP5[50uM]","2017_11_09",13,"M",27,"rACSF","rACSF",NA,"Luis",NA,"2017_11_09_1000.atf","2017_11_09_1003.abf","0.05","Omit: AP5 for full exp","Omit","-0.687031332255303",3.66,42.7911855527064,-1.24719635079936,-0.335426019316191,2.40204935838319,17.8830545005468,8.81388112040334,14.3907779276431,13.5799175911131,23.7109763949426,19.9684929831505,6.2388774617379,8.80920833126811,21.8194566637451,8.26132760570142,12.1655807674369,-2.20978774817563,-3.23263114683857,-14.9844894781242,-40.2018395116693,-28.2359182556378,-10.200492089015,-11.9948428633238,-23.2907974626306,-19.309923399031,-3.94055076573842,10.2463393864823,36.9136337457408,30.174260946623,23.1831617595992,21.7964988502203,29.1657524836079,19.4961674319512,16.1376054267752,18.2574912684201,48.4590232366335,49.2388078207439,25.1500693406107,17.2275540879378,-3.53141381273305,43.3901721347755,-8.44934527354228,10.6141158876495,-0.392828276919971,12.2966357881309,13.4583749097725,-4.43012121751582,-4.67154403384863,21.3263620877465,10.1057406901331,12.0167777614599,36.3889329752932,1.01226751245933,22.6568642760679,21.5971748458971,5.57906643677939,33.6361857460496,17.4193666730293,24.8469101995307,21.3378290732987,35.2987109012833,-0.595208203595092,25.7500967189627,21.4217888473966,40.4070664526425,28.6720890137975,18.1322000377165,31.5679448904564,23.8869927921117,17.4869378873047,37.4867225346567,47.1198451868653,33.5012381190963,45.9602024493977,49.5747563192186,36.3507191145917,42.237118674886,40.0138476020216,45.7794860528139
"P14f-AP5F_2-AP03","PND14","AP5[50uM]","2017_11_09",13,"M",27,"rACSF","rACSF",NA,"Luis",NA,"2017_11_09_1007.atf","2017_11_09_1009.abf",NA,"","Omit","-0.664833221435514",4.19,-5.20339088045037,-0.474080059824221,-2.75053574881118,5.90007837765316,3.49830964614073,3.43568680121373,7.46798755432798,10.4397219378689,3.23625434387884,-11.465317196568,9.97626042725368,-11.6842150739731,-7.83989620756836,-7.78647374762032,1.45256442088282,0.643877649720935,-7.36861195701947,13.058643634036,-63.7431404937229,-29.4851858424196,-48.1261462483876,-34.3528629189295,-43.8614161236699,-13.1289752662468,-8.51690873127056,-26.1914515136875,-3.3310783914404,-14.1144943725263,-10.7706698040382,-8.00563810157354,-8.22665824945562,-21.7793295676419,7.0453937527015,2.96279912784811,12.1972899290279,11.1159939564729,-6.08237399921073,3.69964616458161,5.19060884696488,8.99687164418779,8.50226239947173,2.24511666084864,6.85353112103155,19.5518417416225,-13.4037020939365,6.75070091722228,11.9865232493211,13.0332358466268,11.9134749385891,2.61874856350663,18.5399219977698,-10.6378435047239,14.5849271256283,12.2900288478544,22.1495235934903,14.6554857606468,-2.76692434401689,22.4389095382374,-14.6708964141455,8.33296285492646,35.4741664911529,-12.1982069267141,1.08746954063508,8.60329922618119,17.0768948148066,-6.05711038368928,-14.6493964207479,5.40999170095773,8.33811033727767,5.85977127569299,-2.19190270477955,-5.11001353259914,3.41501827961426,-14.7346271715846,-3.45424733676694,-3.37516959736381,0.676035007645609,-5.12894530418221
"P14f-AP5W_1","PND14","AP5[50uM]","2018_01_19",15,"F",40,"rACSF","rACSF",NA,"Scott",NA,"2018_01_19_0003.atf","2018_01_19_0007.abf","0.035","","Keep","-1.35844421386971",3.2,-14.9364764518018,0.339274559075063,-0.819930522750034,-5.85560171360426,1.24999515868123,-6.65818047618497,-8.28827062211968,-4.54943972748806,-2.99292266916059,-2.85912844600182,-9.04363467416815,-3.99293541858171,-8.11336694683278,4.45624924570507,0.632642789612163,-3.93150509954629,-2.41320898690421,1.25582205113319,-42.6956727164817,-29.8748402893685,-35.2636277855834,-35.2151082631808,-30.1776857064889,-33.0085070010208,-27.5697318492249,-27.350291139004,-36.6765440657528,-34.4265236938829,-34.5997116289668,-27.2058929363854,-33.6054308060153,-24.0716701568947,-23.321530555379,-25.0522052732877,-21.9232041378924,-23.9373672839238,-14.7881454262636,-15.5184212743473,-19.214593954498,-22.1266862034204,-25.3673003574553,-17.941844848336,-14.9410140259152,-19.3456161467089,-12.403903193852,-15.5905184596513,-12.0845259969589,-10.471909521118,-15.7768518856461,-11.1695906435764,-13.7551700561895,-14.4509165193882,-18.4914848474235,-18.3649983048681,-20.4747139447502,-22.5966111815331,-17.6890024027214,-18.3078035670942,-18.6435991298873,-11.0461491551542,-10.7054176841144,-21.6917084295707,-18.9893259374508,-20.4200350593058,-19.8756467246795,-8.74829765526319,-12.227806746255,-11.9993970265086,-16.1681154196114,-16.684635235587,-12.6274959457209,-12.078177470652,-12.5814103374771,-16.8828498211169,-13.7344625248599,-17.003812031776,-10.9915257955722,-16.0697320856839
"P14f-AP5W_2","PND14","AP5[50uM]","2018_02_26",15,"F",35,"rACSF","rACSF",NA,"Scott",NA,"2018_02_26_0009.atf","2018_02_26_0016.abf","0.03","Did HFS after LTD","Keep","-1.48431701660331",2.91,-17.9265788545921,0.514508494934823,1.72613108316595,-5.25844484408249,-3.35887688158405,-7.64210657635095,-5.33453708215121,0.0588279064871955,-4.83027445896273,-6.55326733097058,-1.35325064731111,1.96653669485967,-0.649549640614836,0.697438201791272,-1.53897978627003,-2.577548684429,1.69131651202348,1.72777375688429,-59.9510190461205,-57.1129110182076,-43.4910209314785,-52.7713958303398,-46.2806415183368,-34.6419553766076,-38.4630557884363,-36.3537467707804,-20.9271522600981,-26.7324784944419,-21.9047556639418,-19.5843544340018,-17.9570799575872,-14.2691161219513,-14.9723648085675,-20.3523913954468,-15.8618362421596,-13.8109565479231,-13.6836268987007,-11.9551699880365,-13.4485658467572,-18.8322754983352,-15.1065799197531,-9.44272597630804,-13.3473709563477,-11.8639388840567,-14.3867454940367,-10.2300912648566,-9.51130456183562,-11.125141696288,-10.0523305837671,-4.52590208149962,-8.33132064162035,-10.7325589056007,-12.9905671325092,-12.847912194244,-17.3583356638106,-14.2276384723317,-13.2793154452588,-13.4924596433883,-12.1316924202334,-14.5689924741782,-9.56377649779915,-9.76287292940448,-10.5172611829315,-11.438348199537,-9.22121269433805,-8.53886634453377,-8.44669135292062,-10.7496418003302,-10.3000618410341,-10.6230720940903,-14.4730511738582,-11.2056280617944,-14.5037359897253,-13.1520526541953,-15.594783337344,-19.948152175516,-23.4167242807256,-17.5211818251796
"P14f-AP5W_3","PND14","AP5[50uM]","2018_06_20",14,"F",28.9,"rACSF","rACSF","9:00","Scott",NA,"2018_06_20_0007.atf","2018_06_20_0012.abf","0.05","","Omit","-1.37873840332234",2.62,19.3057031793491,-1.00303755393115,-1.91284884125518,9.25056527210953,9.96781094183892,22.729152683438,9.92976528931777,4.47537745138237,20.6596003034675,-1.55523381480947,4.9339231535326,7.76821688609364,-2.1294905543228,-11.3659775606131,2.48609791233712,-5.87199334642369,0.399308007505311,14.3525649871944,-7.73931231789814,-10.6433723151032,-17.4080304294738,-18.7122986871239,-16.3404054169484,-14.8305824572901,-16.6095834413222,-16.020838145854,-15.2660641219861,-1.68835959503053,-1.80605753179101,-13.0359369569436,-9.18970698357195,0.865843289752306,1.09567008165381,0.238609159965833,-5.12342759042723,-6.07741791167089,-11.2633543655012,0.593184708860917,-5.46502097297619,7.7193723973658,9.17036865703282,6.02030121449506,7.70089500577755,7.16929764398104,-4.2083198516919,11.8749512983022,-1.8211021989044,-0.0172836974699351,2.1876505388319,11.0331445107121,-2.94171762505697,0.9529767196683,3.02639000653942,6.53029123049301,4.31477364585977,-0.0479869845706844,6.54400642782824,2.96190710023905,0.391494453728967,9.46734744246605,5.69398102465186,3.97005959474942,1.23080482344604,2.05002860400872,15.2947092316955,11.5995752981762,4.23399284780182,-1.80762986449096,8.36750286992458,17.3582932632165,-3.99883539763209,10.2956117489292,-0.377308205182416,14.8311989188295,18.4736619897949,15.5312854108209,9.71498512308276,37.9773844542176
"P14f-AP5W_4","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF","11:30","Scott",NA,"2018_06_21_0000.atf","2018_06_21_0008.abf","0.06","[25uM] AP5","Omit","-1.22283477783478",3.58,-6.18220541080025,0.959329780950649,0.738857459213662,-6.03782506772352,-7.22901712171435,-16.0961610743184,-15.7220614450598,-11.3915476056332,-7.96905139237617,-8.37707051561668,-11.5485929561507,-5.48248540843235,-8.78666922100034,-1.11102950924619,1.1697110358764,-0.220653618359108,1.01726493097789,-0.855292839249017,-40.4483862999478,-36.9693013951154,-27.5057353975186,-22.143571724652,-17.2094846342623,-14.5575735570673,-23.0116490938971,-27.2612802684682,-26.2531316188189,-28.6911589376228,-21.4938130232582,-19.0541283208396,-16.924304952351,-20.392852366755,-5.91000692830451,-13.4451007784113,-14.8093824593194,-5.61401257345648,-15.241720507672,-6.89126141418795,-14.1431898825089,-9.07512649910723,-9.21786515323234,-12.9863127769413,-8.98647573392034,-19.1011580205717,-14.133888907725,-18.7583850923081,-19.0979036763964,-15.4544352910971,-12.7843262006621,-8.0414170124337,-10.4021641352152,-12.9080654616016,-14.0055659430041,-1.99850654664422,-8.15812178367969,-6.90309521164284,-7.7608529508769,-6.83915583770876,-7.36396709585684,-3.82891186859116,-13.4509674188115,-12.7503892668174,-9.61668087289475,-27.075382460289,-21.4042512397208,-7.65837650331024,-13.590586555188,-12.6209266387388,-15.1183783108242,-18.3988688474396,-11.297415524321,-5.39515671346399,-10.3263822321999,-5.43723064101509,-2.42665594224808,-6.08944720025535,-8.0956729697847,-8.86202030069796
"P14f-AP5W_5","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF",NA,"Luis",NA,"2018_06_21_1008.atf","2018_06_21_1013.abf",NA,"","Keep","-0.382317840575699",4.21,-39.0634866505178,0.140437674578773,-0.779183199192595,1.88144096620097,-1.99709174536052,-6.75396168227287,2.29380786492304,-3.31125054780466,-8.88065989514351,-6.48329571885992,-1.49942844261219,-4.29862152509847,1.29875370819197,-0.652689905681569,10.9448843240827,-7.11404382609892,4.07572290450513,-7.25387349680727,-44.6816109007668,-30.192067206179,-30.8317250222867,-23.4166400336197,-24.4594042435029,-38.5629713022056,-16.9389530280234,-37.1590515533849,-26.4981122137911,-33.0926464407682,-36.0836249476358,-24.7339531562009,-32.3150295913763,-33.0402181197716,-39.2492177985914,-42.5359505233998,-41.9464458757303,-27.435030201476,-30.8191513732646,-21.4667181129681,-40.2430811624228,-14.4487458882188,-28.266063897566,-26.0069307355776,-50.2462882674096,-41.2029763339104,-22.9589328680011,-31.4661981141352,-35.0801377162708,-47.2998564415031,-45.9002718183718,-52.9587680120398,-59.9495482420457,-62.0679337179107,-55.9017072294534,-54.8628455339489,-58.6097366770361,-71.0573092107839,-53.3553276049062,-71.3780286015408,-51.2034394138805,-41.9734376501236,-47.9935924652781,-54.0064506063529,-55.4685001261573,-52.2170874840695,-49.4814249697744,-38.9258465870551,-43.1138000456486,-49.0380593915152,-41.1626733783027,-53.2749092697357,-55.4476830100613,-50.3714251224447,-35.4226026426693,-42.7960995761036,-46.6244616625127,-34.2825425635053,-32.7555322790612,-38.8587971714063
"P14f-AP5W_6","PND14","AP5[50uM]","2018_06_21",15,"M",32,"rACSF","rACSF",NA,"Scott",NA,"2018_06_21_0022.atf","2018_06_21_0027.abf",NA,"","Omit","-0.733512878421469",3.59,16.5079446532654,1.08956378100544,-0.330763560163172,-18.2989051395557,-5.56472444412222,-7.33038935683358,-12.3423607402481,-14.7790800492836,-8.67312712750464,-21.351927728797,-9.04075156031435,-17.9201974941322,-14.2788472141535,-10.2070737725295,9.15349727345807,-8.96467360113739,11.5059598023189,-1.48770970211005,-8.36375923637111,-9.91010998433715,-2.25513078657148,-8.85404300753832,-2.3600555716925,-16.9054019565377,0.773995469421251,-1.63302263571524,-2.25927276955932,4.2914682496894,0.844834080611506,12.1841265357887,6.88593497001331,15.1695651237862,12.7154770504799,17.3921117620235,5.83334514536354,20.2008246577167,16.9581879117942,37.0101578186839,26.1966537513283,40.0486053417964,18.4908110855741,23.7862721168434,33.1531444896636,16.2560748159074,33.1458789260232,22.3558990525192,30.0208524704868,45.9220978757134,41.8115636543568,31.4504582488441,61.0599789869427,42.0068117842602,11.3685833004373,25.6236562411493,29.9140006454948,56.7746907481773,42.1668506840602,36.286826414444,19.2680427789784,29.0467089305543,30.6026277129156,4.7169413112203,21.6338232050735,20.2224671732329,39.4237629247569,22.2975180496257,14.6651586049252,7.50083643488955,17.1568611138882,-7.48625942790345,24.4708962106401,9.02030489477245,12.8604588612824,17.4342741225038,18.8208509786704,7.05122094353095,15.6174886012286,23.6158886203935
"P14f-AP5W_7","PND14","AP5[50uM]","2018_10_10",13,"M",25.9,"rACSF","rACSF","9:00","Sunny","R2","2018_10_10_2001.atf","2018_10_10_2008.abf",NA,"","Omit","-1.34103381347744",4.22,9.32501126753105,1.3735914051303,3.50029352191087,-13.3958478792595,-11.723644074599,-17.1045024166871,-12.7148683326115,-13.5489443514934,-11.1827248813997,-8.72579027188121,-1.83956150392045,-5.52503956296351,-8.83919085829976,-10.9243089620771,0.325780815319405,-0.000442535050595438,7.55050607870562,3.04846460310266,-15.0223575124062,6.12171954382457,14.2937566302875,14.6515917680232,20.5775828534984,16.6786151205463,24.2238323818661,14.1735687815375,25.3819048503109,24.2416717120471,22.3105269285236,27.2392421766007,15.8664617119061,22.4651701252776,22.8079624100766,22.1393272199064,19.2189303560974,21.8115203017048,21.7719859204903,23.653592428031,21.0386954489955,15.3333792432674,20.5312952586936,21.2647616344004,23.521821709094,21.5603267663539,21.807131466096,17.9259023811292,15.2324949696056,17.3425890403397,11.3206108914875,11.5815517655892,12.5545216259816,14.8371865813366,11.6688008325278,15.0172427425635,13.4879138947457,14.3900801546342,19.4524940427519,6.25998824439777,9.78832386894055,8.63940367017723,11.4599683676854,13.954422356976,11.6089807185222,7.88075020922257,8.59079464833623,5.569464829613,6.6950842887812,7.89112411045167,9.61525640542706,-0.0167991546356916,4.03866336977352,12.7202765334712,9.69796374697218,9.2574435229705,6.55638125052722,5.95002271068856,15.3859191186264,9.47528973484251
"P14f-AP5W_8","PND14","AP5[50uM]","2018_10_10",13,"M",25.9,"rACSF","rACSF","9:00","Scott","L3","2018_10_10_0012.atf","2018_10_10_0018.abf","0.0","","Keep","-0.939359436035129",2.9,-12.5668343602345,0.603707743389153,1.74790669301989,-11.2711188165371,-3.74132036400324,-4.2440938435426,-6.5880004416637,-1.17264120838149,-4.5680966463034,-7.97876622461298,1.14262826858629,0.519366414490136,-4.92842989286797,-4.0418208989291,-0.896944655766859,0.673088130507509,4.39251064319359,-0.126833219005135,-19.6289396185978,-7.25202093015837,0.935251720653071,2.84619747970372,9.14191523057207,7.28830625676891,13.3644891876734,12.8313298377663,28.9699820974573,26.0094014927221,24.9646271828624,26.7295688997893,19.1291330612869,19.0818454090568,16.2043620960674,10.5238841327716,8.53490671409716,4.25328214638428,-6.83652058170433,4.3828356324251,-7.26480117239475,-15.1680801404569,-8.78825350796403,-4.45014211976836,-5.83695886449519,-13.6788905982128,-11.7395406232207,-7.68712468206397,-6.48408028906515,-0.914317929083737,-1.03441291271447,-9.65038128321298,-0.948496389600791,1.34072688608589,-3.80294153823633,0.549467285341422,-14.071224411459,-3.46868245524389,-12.0459265753157,-11.6883596454163,4.20074553642212,-0.063125345774111,5.48054256861374,5.81047016527516,2.56918193816453,5.11621672800011,-2.03108738723397,-0.162594332297161,6.23495781676962,-10.8885095654271,-11.9479470285702,-4.52830776166978,-3.72440351064795,-2.2624456266841,-5.10537944704758,-11.5744909541766,-16.0782577935165,-10.275015915412,-10.9637488603807,-13.9426582776866
