"Cell","AgeGroup","Exp","tmnt","mag","Protocol","Course","Time"
"1","17104.P1","PND21","EtOH[100mM]","Control",-193.939199772757,"AMPAr",4,-24
"2","17104.P1","PND21","EtOH[100mM]","Control",-251.464831806061,"AMPAr",4,-23
"3","17104.P1","PND21","EtOH[100mM]","Control",-276.641832563343,"AMPAr",4,-22
"4","17104.P1","PND21","EtOH[100mM]","Control",-254.974353123743,"AMPAr",4,-21
"5","17104.P1","PND21","EtOH[100mM]","Control",166.836685249046,"NMDAr",5,-20
"6","17104.P1","PND21","EtOH[100mM]","Control",168.239040558182,"NMDAr",5,-19
"7","17104.P1","PND21","EtOH[100mM]","Control",137.438086384988,"NMDAr",5,-18
"8","17104.P1","PND21","EtOH[100mM]","Control",104.442773127032,"NMDAr",5,-17
"9","17104.P1","PND21","EtOH[100mM]","Control",-178.527823551633,"AMPAr",6,-16
"10","17104.P1","PND21","EtOH[100mM]","Control",-295.867905868903,"AMPAr",6,-15
"11","17104.P1","PND21","EtOH[100mM]","Control",-213.01268519494,"AMPAr",6,-14
"12","17104.P1","PND21","EtOH[100mM]","Control",-256.34764407414,"AMPAr",6,-13
"13","17104.P1","PND21","EtOH[100mM]","Control",158.306295959277,"NMDAr",7,-12
"14","17104.P1","PND21","EtOH[100mM]","Control",149.12195859789,"NMDAr",7,-11
"15","17104.P1","PND21","EtOH[100mM]","Control",210.425957267208,"NMDAr",7,-10
"16","17104.P1","PND21","EtOH[100mM]","Control",184.602274527994,"NMDAr",7,-9
"17","17104.P1","PND21","EtOH[100mM]","Control",-183.868399469845,"AMPAr",8,-8
"18","17104.P1","PND21","EtOH[100mM]","Control",-204.772939492557,"AMPAr",8,-7
"19","17104.P1","PND21","EtOH[100mM]","Control",-245.666492237718,"AMPAr",8,-6
"20","17104.P1","PND21","EtOH[100mM]","Control",-226.593006815535,"AMPAr",8,-5
"21","17104.P1","PND21","EtOH[100mM]","Control",130.077537534446,"NMDAr",9,-4
"22","17104.P1","PND21","EtOH[100mM]","Control",159.367145053235,"NMDAr",9,-3
"23","17104.P1","PND21","EtOH[100mM]","Control",91.8215753448104,"NMDAr",9,-2
"24","17104.P1","PND21","EtOH[100mM]","Control",116.410022837636,"NMDAr",9,-1
"25","17104.P1","PND21","EtOH[100mM]","100mM",-102.844233396411,"AMPAr",10,0
"26","17104.P1","PND21","EtOH[100mM]","100mM",-101.318354562636,"AMPAr",10,1
