"files" "n" "n1" "protocol" "p0" "Bl" "EPSC" "TestPulse_ON" "TestPulse_OFF" "Treatment"
"17713029.atf" 16000 10 "IV-1" 100 500 700 13500 15500 "Control"
"17713030.atf" 16000 10 "IV-2" 100 500 700 13500 15500 "Control"
"17713031.atf" 13000 7 "IO-3" 100 600 700 10500 12000 "Control"
"17713032.atf" 2600 4 "PP-4" 100 500 550 NA NA "Control"
"17713033.atf" 17000 5 "NMDAr-5" 10000 10200 10280 100 1100 "Control"
"17713034.atf" 17000 5 "NMDAr-6" 10000 10200 10280 100 1100 "Control"
"17713035.atf" 17000 5 "NMDAr-7" 10000 10200 10280 100 1100 "Control"
"17713036.atf" 17000 5 "NMDAr-8" 10000 10200 10280 100 1100 "Control"
"17713038.atf" 15000 5 "NMDAr-9" 8000 8200 8250 100 1100 "Control"
"17713039.atf" 15000 5 "NMDAr-10" 8000 8200 8250 100 1100 "Control"
"17713040.atf" 15000 5 "NMDAr-11" 8000 8200 8250 100 1100 "Control"
"17713041.atf" 15000 5 "NMDAr-12" 8000 8200 8250 100 1100 "Control"
"17713042.atf" 15000 5 "NMDAr-13" 8000 8200 8250 100 1100 "Control"
"17713043.atf" 15000 5 "NMDAr-14" 8000 8200 8250 100 1100 "Control"
"17713044.atf" 15000 5 "NMDAr-15" 8000 8200 8250 100 1100 "100mM"
"17713045.atf" 15000 5 "NMDAr-16" 8000 8200 8250 100 1100 "100mM"
"17713046.atf" 15000 5 "NMDAr-17" 8000 8200 8250 100 1100 "100mM"
"17713047.atf" 15000 5 "NMDAr-18" 8000 8200 8250 100 1100 "100mM"
"17713048.atf" 2600 4 "PP-19" 100 500 550 NA NA "100mM"
"17713049.atf" 15000 5 "NMDAr-20" 8000 8200 8250 100 1100 "Wash"
"17713050.atf" 15000 5 "NMDAr-21" 8000 8200 8250 100 1100 "Wash"
"17713051.atf" 15000 5 "NMDAr-22" 8000 8200 8250 100 1100 "Wash"
"17713052.atf" 15000 5 "NMDAr-23" 8000 8200 8250 100 1100 "Wash"
"17713053.atf" 15000 5 "NMDAr-24" 8000 8200 8250 100 1100 "Wash"
"17713054.atf" 15000 5 "NMDAr-25" 8000 8200 8250 100 1100 "Wash"
"17713055.atf" 2600 4 "PP-26" 100 500 550 NA NA "Wash"
"17713056.atf" 2600 4 "PP-27" 100 500 550 NA NA "Wash"
