"files" "n" "n1" "protocol" "p0" "Bl" "EPSC" "TestPulse_ON" "TestPulse_OFF" "Treatment"
"17419031.atf" 15000 10 "IV-1" 100 600 700 NA NA "Control"
"17419032.atf" 15000 10 "IV-2" 100 600 700 NA NA "Control"
"17419033.atf" 32000 4 "IO-3" 100 600 700 10500 12500 "Control"
"17419034.atf" 2600 4 "PP-4" 100 500 550 NA NA "Control"
"17419035.atf" 17000 5 "NMDAr-5" 10000 10200 10280 100 1100 "Control"
"17419037.atf" 15000 5 "NMDAr-6" 8000 8200 8250 100 1100 "Control"
"17419038.atf" 15000 3 "AMPAr-7" 8000 8200 8250 100 1100 "Control"
"17419039.atf" 15000 5 "NMDAr-8" 8000 8200 8250 100 1100 "Control"
"17419040.atf" 15000 3 "AMPAr-9" 8000 8200 8250 100 1100 "Control"
"17419041.atf" 15000 5 "NMDAr-10" 8000 8200 8250 100 1100 "Control"
"17419042.atf" 15000 3 "AMPAr-11" 8000 8200 8250 100 1100 "100mM"
"17419043.atf" 15000 5 "NMDAr-12" 8000 8200 8250 100 1100 "100mM"
"17419044.atf" 15000 3 "AMPAr-13" 8000 8200 8250 100 1100 "100mM"
"17419045.atf" 15000 5 "NMDAr-14" 8000 8200 8250 100 1100 "100mM"
"17419046.atf" 15000 3 "AMPAr-15" 8000 8200 8250 100 1100 "100mM"
"17419047.atf" 15000 5 "NMDAr-16" 8000 8200 8250 100 1100 "100mM"
"17419048.atf" 2600 4 "PP-17" 100 500 550 NA NA "100mM"
"17419049.atf" 15000 5 "NMDAr-18" 8000 8200 8250 100 1100 "Wash"
"17419050.atf" 15000 3 "AMPAr-19" 8000 8200 8250 100 1100 "Wash"
"17419051.atf" 15000 5 "NMDAr-20" 8000 8200 8250 100 1100 "Wash"
"17419052.atf" 15000 3 "AMPAr-21" 8000 8200 8250 100 1100 "Wash"
"17419053.atf" 15000 5 "NMDAr-22" 8000 8200 8250 100 1100 "Wash"
"17419054.atf" 15000 3 "AMPAr-23" 8000 8200 8250 100 1100 "Wash"
"17419055.atf" 15000 5 "NMDAr-24" 8000 8200 8250 100 1100 "Wash"
"17419056.atf" 15000 3 "AMPAr-25" 8000 8200 8250 100 1100 "Wash"
"17419057.atf" 15000 5 "NMDAr-26" 8000 8200 8250 100 1100 "Wash"
"17419058.atf" 15000 3 "AMPAr-27" 8000 8200 8250 100 1100 "Wash"
"17419059.atf" 15000 5 "NMDAr-28" 8000 8200 8250 100 1100 "Wash"
"17419060.atf" 15000 3 "AMPAr-29" 8000 8200 8250 100 1100 "Wash"
"17419061.atf" 15000 5 "NMDAr-30" 8000 8200 8250 100 1100 "Wash"
"17419062.atf" 2600 4 "PP-31" 100 500 550 NA NA "Wash"
"17419063.atf" 15000 5 "NMDAr-32" 8000 8200 8250 100 1100 "Wash"
"17419064.atf" 15000 3 "AMPAr-33" 8000 8200 8250 100 1100 "Wash"
"17419065.atf" 15000 5 "NMDAr-34" 8000 8200 8250 100 1100 "Wash"
"17419066.atf" 15000 3 "AMPAr-35" 8000 8200 8250 100 1100 "Wash"
