files,n,n1,protocol,ROI,SA,BlRegion,TestPulse,Treatment
17217010.atf,15000,10,IV curve,100:11000,NA,200:600,NA,0
17217011.atf,15000,10,IV curve,100:11000,NA,200:600,NA,0
17217012.atf,13000,6,IO,600:1600,700,100:600,10500:12500,0
17217013.atf,2600,5,PP,500:2000,550|1550,100:500,NA,0
17217014.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,0
17217015.atf,15000,5,AMPA,8000:10000,8250,7700:8200,100:1100,0
17217016.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,0
17217017.atf,15000,5,AMPA,8000:10000,8250,7700:8200,100:1100,0
17217018.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,0
17217019.atf,15000,3,AMPA,8000:10000,8200,7500:8000,100:1100,0
17217020.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,0
17217021.atf,15000,3,AMPA,8000:10000,8200,7500:8000,100:1100,0
17217022.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,0
17217023.atf,15000,3,AMPA,8000:10000,8200,7500:8000,100:1100,2
17217024.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,2
17217025.atf,15000,3,AMPA,8000:10000,8200,7500:8000,100:1100,2
17217026.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,2
17217027.atf,15000,3,AMPA,8000:10000,8200,7500:8000,100:1100,2
17217028.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,2
17217029.atf,2600,5,PP,500:2000,550|1550,100:500,NA,2
17217030.atf,17000,5,NMDAr,8000:10000,8260,9500:10000,100:1100,2
