"Sweep","mVd","stimAmin","FVmin","indexFVmin","EPSPmin","indexEPSPmin","slopeEPSP"
"PreC.IO_1.Sweep.0...mV.",2.41872863769658,-1.28347473144658,-0.07192687988658,327,-0.23916320800658,627,-0.125119878131455
"PreC.IO_1.Sweep.1...mV.",2.63730590820448,-2.80698364257948,-0.16416137695448,316,-0.69638793945448,607,-0.354946098760105
"PreC.IO_1.Sweep.2...mV.",2.62899414062624,-4.22445312500624,-0.22481933593624,316,-0.94076171874624,618,-0.474156885024247
"PreC.IO_1.Sweep.3...mV.",2.75506958007946,-5.38873657226946,-0.26727661132946,317,-1.08331665038946,638,-0.58411335831655
"PreC.IO_1.Sweep.4...mV.",2.71189880371225,-6.27085876465225,-0.29978942871225,323,-1.18785095215225,641,-0.644400273816094
"PreC.IO_1.Sweep.5...mV.",2.84344543457151,-6.93768371582151,-0.34161437988151,321,-1.24066223144151,626,-0.626093848990183
"PreC.IO_1.Sweep.6...mV.",2.76716857910278,-7.36860900879278,-0.35261779785278,324,-1.31270080566278,600,-0.628923340944514
"PreC.IO_1.Sweep.7...mV.",2.93057861328236,-7.62723388672236,-0.40555419922236,325,-1.33267822265236,596,-0.654760888502156
"PreC.IO_1.Sweep.8...mV.",2.86423461914193,-7.77695434570193,-0.41550415039193,323,-1.36154907226193,613,-0.683584829995944
"PreC.IO_1.Sweep.9...mV.",2.93332824707161,-7.84604797363161,-0.44736633301161,330,-1.37388000488161,587,-0.671527946979544
"PreC.PP_2.Sweep.0...mV.",2.94897399902452,-5.28662048340452,-0.26830993652452,318,-1.19665466308452,592,-0.665708973149812
"PreC.PP_2.Sweep.1...mV.",2.86629699707154,-5.26619934082154,-0.27657531738154,315,-1.18294738769154,628,-0.663144122822493
"PreC.PP_2.Sweep.2...mV.",2.94083557129013,-5.27359924317013,-0.27176818848013,321,-1.19950256348013,598,-0.620114731354862
"PreC.PP_2.Sweep.3...mV.",2.89461425781375,-5.24996093750375,-0.28902343750375,320,-1.18868164062375,598,-0.60287084032761
"PreC.PP_2.Sweep.4...mV.",2.94523071289199,-5.22611450195199,-0.28165649414199,317,-1.21671508789199,604,-0.617692729265692
"PreC.PP_2.Sweep.5...mV.",2.89465881347776,-5.21521545410776,-0.28540588378776,316,-1.22412658691776,634,-0.577898214553192
"PreC.PP_2.Sweep.0...mV.1",NA,-5.39953552246452,-0.29272399902452,314,-1.31201110839452,590,-0.746432217684618
"PreC.PP_2.Sweep.1...mV.1",NA,-5.37728332520154,-0.28206848144154,318,-1.28792785644154,595,-0.75825165310287
"PreC.PP_2.Sweep.2...mV.1",NA,-5.37857971192013,-0.28763732910013,314,-1.29288635254013,588,-0.767718703664627
"PreC.PP_2.Sweep.3...mV.1",NA,-5.35921386719375,-0.30855468750375,315,-1.30953125000375,589,-0.755857801129108
"PreC.PP_2.Sweep.4...mV.1",NA,-5.35001586914199,-0.29569458008199,313,-1.29178833008199,583,-0.701320036336171
"PreC.PP_2.Sweep.5...mV.1",NA,-5.34827209472776,-0.29517150878776,309,-1.34314514159776,585,-0.76750032194137
"PreC.Bl_3.Sweep.0...mV.",2.97481567382943,-5.19832641601943,-0.27217895507943,321,-1.21944458007943,610,-0.638978444372496
"PreC.Bl_3.Sweep.1...mV.",2.90652404785286,-5.20205627441286,-0.28506408691286,321,-1.25002990722286,632,-0.667893656095494
"PreC.Bl_3.Sweep.2...mV.",2.97196228027455,-5.18387634277455,-0.28946716308455,316,-1.25870544433455,611,-0.650106285497117
"PreC.Bl_3.Sweep.3...mV.",2.92410705566532,-5.15677307129532,-0.27945373535532,317,-1.25845764160532,646,-0.668914557318101
"PreC.Bl_3.Sweep.4...mV.",3.1114422607436,-5.1506268310536,-0.2781903076136,317,-1.2596356201136,610,-0.671716251281992
"PreC.Bl_3.Sweep.5...mV.",2.96951232910275,-5.15212951660275,-0.27297912597275,326,-1.27395568847275,641,-0.690341236965719
"PreC.Bl_3.Sweep.6...mV.",3.0311773681652,-5.1313970947252,-0.2809332275352,317,-1.2874029541052,611,-0.629501371020363
"PreC.Bl_3.Sweep.7...mV.",3.11616943359491,-5.12361572265491,-0.29390380859491,315,-1.27046630859491,635,-0.680468485326639
"PreC.Bl_3.Sweep.8...mV.",3.10897827148574,-5.10116577148574,-0.27084350585574,319,-1.28036499023574,620,-0.689162331398785
"PreC.Bl_3.Sweep.9...mV.",2.97712524414198,-5.08466918945198,-0.28913696289198,317,-1.29865844726198,627,-0.710129842519123
"PreC.Bl_3.Sweep.10...mV.",3.10341979980595,-5.10537292480595,-0.28969909667595,316,-1.30349304199595,622,-0.703182221188511
"PreC.PP_4.Sweep.0...mV.",3.1318402099621,-3.5767864990251,-0.2192425537121,321,-1.0719036865221,615,-0.612636300966438
"PreC.PP_4.Sweep.1...mV.",3.04070434570432,-3.57781372070432,-0.24590454101432,317,-1.04668579101432,632,-0.609669667897917
"PreC.PP_4.Sweep.2...mV.",3.1190203857434,-3.5725115966814,-0.2210711669934,318,-1.0633563232434,633,-0.634437632698144
"PreC.PP_4.Sweep.3...mV.",3.0660687255872,-3.5512982177752,-0.2456341552772,326,-1.0525189208972,638,-0.592363509624312
"PreC.PP_4.Sweep.4...mV.",3.15689147949338,-3.55667175293138,-0.23025573730338,317,-1.04446472168338,628,-0.602564778360184
"PreC.PP_4.Sweep.5...mV.",3.14937927246209,-3.52840759277509,-0.22945739746209,319,-1.05343200683209,632,-0.596718827463584
"PreC.PP_4.Sweep.0...mV.1",NA,-3.7281536865251,-0.2381634521521,310,-1.2373089599621,606,-0.67144729492562
"PreC.PP_4.Sweep.1...mV.1",NA,-3.73345336914232,-0.22759399414432,311,-1.21453247070432,601,-0.661339228148356
"PreC.PP_4.Sweep.2...mV.1",NA,-3.7232684326184,-0.2375506591834,312,-1.2220477294934,595,-0.653345813672401
"PreC.PP_4.Sweep.3...mV.1",NA,-3.7081585693372,-0.2615032958972,315,-1.2002239990272,613,-0.607705801842434
"PreC.PP_4.Sweep.4...mV.1",NA,-3.68911804199338,-0.24246276855338,309,-1.19216979980338,618,-0.667358054434589
"PreC.PP_4.Sweep.5...mV.1",NA,-3.68770935058709,-0.25143005371209,309,-1.19747497558209,626,-0.666608891048533
"PreC.Bl_5.Sweep.0...mV.",3.16291748046987,-3.48701416015787,-0.23261962890987,320,-1.04072509765987,616,-0.606765626030777
"PreC.Bl_5.Sweep.1...mV.",3.32468200683726,-3.51144958496226,-0.20578552245726,318,-1.07187438964726,625,-0.61713273419715
"PreC.Bl_5.Sweep.2...mV.",3.3063500976575,-3.4888452148455,-0.2332299804675,321,-1.0590356445275,632,-0.587846348473641
"PreC.Bl_5.Sweep.3...mV.",3.40319274902476,-3.48070739746226,-0.21898864746476,316,-1.04113220214476,627,-0.579798946972174
"PreC.Bl_5.Sweep.4...mV.",3.36496582031376,-3.47055664062676,-0.20639648437376,317,-1.07431640625376,613,-0.591596246706081
"PreC.Bl_5.Sweep.5...mV.",3.43995422363401,-3.48206848144651,-0.20875305175401,318,-1.05531066894401,631,-0.616059919637884
"PreC.Bl_5.Sweep.6...mV.",3.41807617187613,-3.47422851562613,-0.21739257812613,319,-1.07554687499613,630,-0.690440066362101
"PreC.Bl_5.Sweep.7...mV.",3.58860229492302,-3.48789428711002,-0.20542358398302,320,-1.06540893554302,612,-0.628455260198924
"PreC.Bl_5.Sweep.8...mV.",3.53903991699337,-3.47129089355587,-0.21628601074337,319,-1.05368835449337,631,-0.593505579072704
"PreC.Bl_5.Sweep.9...mV.",3.57148925781366,-3.49153320312616,-0.22249023437366,316,-1.06294433593366,634,-0.615531197273653
"PreC.Bl_5.Sweep.10...mV.",3.49925354004018,-3.47789123535268,-0.22898986816018,315,-1.07432678223018,609,-0.574179431404014
"PreC.Bl_5.Sweep.11...mV.",3.58837463379034,-3.47057678222734,-0.21679260254034,317,-1.09081604004034,618,-0.621403514086713
"PreC.Bl_5.Sweep.12...mV.",3.57661254882926,-3.45698364257926,-0.22883422851926,317,-1.08637817382926,628,-0.650794212307139
"PreC.Bl_5.Sweep.13...mV.",3.71528564453244,-3.44367919921944,-0.22346435547244,317,-1.09748779297244,622,-0.605560516143445
"PreC.Bl_5.Sweep.14...mV.",3.67404846191539,-3.46652893066539,-0.23960021972539,317,-1.07944396972539,628,-0.609017752270936
"PreC.Bl_5.Sweep.15...mV.",3.79782043457155,-3.47982727050855,-0.20956359863155,318,-1.08541809082155,625,-0.637825014328953
"PreC.Bl_5.Sweep.16...mV.",3.69073547363401,-3.47100891113401,-0.21722473144401,318,-1.09796203613401,613,-0.653104298677131
"PreC.Bl_5.Sweep.17...mV.",3.83908508300904,-3.49301574707104,-0.22153137206904,318,-1.08762023925904,629,-0.635929371354887
"PreC.Bl_5.Sweep.18...mV.",3.75212829589958,-3.48357360839958,-0.22978942870958,312,-1.09709899901958,610,-0.604530814644143
"PreC.Bl_6.Sweep.0...mV.",3.71648559570427,-3.47173461914127,-0.23320922851427,314,-1.11455688476427,634,-0.666956747731567
"PreC.Bl_6.Sweep.1...mV.",3.80638427734498,-3.49022216796998,-0.23155517578498,318,-1.11717529296498,629,-0.678592097928785
"PreC.Bl_6.Sweep.2...mV.",3.65183959961049,-3.49314819336049,-0.22837768555049,315,-1.10118041992049,611,-0.593012029474432
"PreC.Bl_6.Sweep.3...mV.",3.7180285644543,-3.4830432128913,-0.2249865722643,321,-1.1124377441443,614,-0.643459726503815
"PreC.Bl_6.Sweep.4...mV.",3.65229003906385,-3.48932617187585,-0.23432128906385,317,-1.10041015625385,632,-0.630573649985119
"PreC.Bl_6.Sweep.5...mV.",3.72278869629018,-3.48841369629018,-0.22913635254018,319,-1.13367736816018,618,-0.654818275558852
"PreC.Bl_6.Sweep.6...mV.",3.68050292968882,-3.51509765625082,-0.23323730468882,312,-1.11214355468882,631,-0.623785039430588
"PreC.Bl_6.Sweep.7...mV.",3.85314392089959,-3.51439880371159,-0.22765563964959,316,-1.13097595214959,635,-0.638198852538418
"PreC.Bl_6.Sweep.8...mV.",3.76052612304812,-3.52248901367312,-0.23330444335812,320,-1.14028686523812,614,-0.640858965275994
"PreC.Bl_6.Sweep.9...mV.",3.85623535156374,-3.52725585937574,-0.22403320312374,317,-1.15665039062374,624,-0.705470757935038
"PreC.Bl_6.Sweep.10...mV.",3.81977844238406,-3.52375793457106,-0.22969055175406,320,-1.15559387207406,630,-0.676264960642714
"PreC.Bl_6.Sweep.11...mV.",3.94505737304823,-3.54466674804823,-0.23534057616823,317,-1.17467163085823,635,-0.639271235966958
"PreC.Bl_6.Sweep.12...mV.",3.86169372558723,-3.53942810058723,-0.23864685058723,317,-1.17248474120723,623,-0.674044115386424
"PreC.Bl_6.Sweep.13...mV.",3.95439880371223,-3.54424255371223,-0.22698181152223,316,-1.16753356933223,614,-0.648906681087151
"PreC.Bl_6.Sweep.14...mV.",3.88702819824357,-3.55011413574357,-0.23102233886357,317,-1.16974304199357,621,-0.686922549107175
"PreC.Bl_6.Sweep.15...mV.",4.03703186035277,-3.55668518066477,-0.22843811035277,313,-1.16960021972277,639,-0.652837229296635
"PreC.Bl_6.Sweep.16...mV.",3.96726684570437,-3.56626586914137,-0.23618774414437,317,-1.15781860351437,606,-0.636683644114991
"PreC.Bl_6.Sweep.17...mV.",4.07213378906365,-3.56493164062565,-0.22691894531365,314,-1.16258789062365,630,-0.672659173714598
"PreC.Bl_6.Sweep.18...mV.",4.05943542480583,-3.57237487793083,-0.24840026855583,315,-1.16575866699583,608,-0.674123222012193
"PreC.Bl_6.Sweep.19...mV.",4.11979309082171,-3.56498352050871,-0.22575012207171,311,-1.16263977051171,623,-0.678246276611772
"PreC.Bl_6.Sweep.20...mV.",4.04120178222777,-3.57672424316477,-0.24847717284777,317,-1.21405334472777,621,-0.669414498274744
"PreC.Bl_6.Sweep.21...mV.",4.1506231689466,-3.5890997314466,-0.2327764892566,316,-1.1879766845666,610,-0.669666700780084
"PreC.Bl_6.Sweep.22...mV.",4.07561767578263,-3.59405029296963,-0.24505126953263,318,-1.19231689453263,630,-0.682424188972962
"PreC.Bl_6.Sweep.23...mV.",4.2093078613294,-3.6068908691414,-0.2444641113294,314,-1.2002746581994,625,-0.734665102582391
"PreC.Bl_6.Sweep.24...mV.",4.08265686035301,-3.59742736816501,-0.22889709472301,317,-1.23719787597301,625,-0.701145549394711
"PreC.Bl_6.Sweep.25...mV.",4.2148248291028,-3.5940972900398,-0.2328912353528,315,-1.2222711181628,637,-0.690341432453022
"PreC.Bl_6.Sweep.26...mV.",4.15040405273558,-3.57423217773558,-0.233778076175579,316,-1.21949584960558,629,-0.725404824344374
"PreC.Bl_6.Sweep.27...mV.",4.1657373046887,-3.5883447265637,-0.2289697265587,316,-1.2464257812487,625,-0.761238473360972
"PreC.Bl_6.Sweep.28...mV.",4.11635192871226,-3.61159118652426,-0.24000915527226,313,-1.22145446777226,605,-0.684281996077665
"PreC.Bl_6.Sweep.29...mV.",4.22948242187631,-3.63500000000131,-0.24754882812631,317,-1.24425292968631,614,-0.739352607028137
"PreC.Bl_6.Sweep.30...mV.",4.10411437988396,-3.63292297363396,-0.25035461425396,316,-1.24461730957396,628,-0.724046308918727
"PreC.Bl_6.Sweep.31...mV.",4.19556213379041,-3.62671447754041,-0.234990844730409,317,-1.23718811035041,640,-0.697785490875699
"PreC.Bl_6.Sweep.32...mV.",4.14903198242319,-3.63267456054819,-0.24095092773319,314,-1.24131713867319,630,-0.722432398531662
"PreC.Bl_6.Sweep.33...mV.",4.19450561523559,-3.62687866211059,-0.23027221679559,320,-1.23674194335559,624,-0.781696465903536
"PreC.Bl_6.Sweep.34...mV.",4.10469726562615,-3.63777832031315,-0.22469238281615,312,-1.24336914062615,620,-0.731523052191969
"PreC.Bl_6.Sweep.35...mV.",4.17541503906372,-3.63220214843872,-0.217895507813719,312,-1.24938964843372,624,-0.728995634085806
"PreC.Bl_6.Sweep.36...mV.",4.1308776855482,-3.6572448730482,-0.233782958988199,317,-1.2640563964882,614,-0.726641125936012
"PreC.Bl_6.Sweep.37...mV.",4.22013244629032,-3.67142639160232,-0.23209533691032,315,-1.25504455566032,614,-0.734596706812444
"PreC.Bl_6.Sweep.38...mV.",4.15497131347781,-3.64960021972781,-0.23163146972781,314,-1.25519104003781,624,-0.711046510918085
"PreC.Bl_6.Sweep.39...mV.",4.20059204101693,-3.67202758789193,-0.23880004882693,312,-1.28372192382693,621,-0.70095678806505
"PreC.Bl_6.Sweep.40...mV.",4.18930786132936,-3.67783325195436,-0.22019165038936,315,-1.26999633788936,626,-0.758740260197355
"PreC.Bl_6.Sweep.41...mV.",4.21237121582173,-3.65573059082173,-0.227996215821729,315,-1.27902160644173,639,-0.731284452446154
"PreC.Bl_6.Sweep.42...mV.",4.10550354004022,-3.66238830566522,-0.23648498535022,317,-1.26431701660022,626,-0.754423795417794
"PreC.Bl_6.Sweep.43...mV.",4.19098327636843,-3.66974304199343,-0.23895690917843,313,-1.26861999511843,627,-0.740497186902597
"PreC.Bl_6.Sweep.44...mV.",4.05588806152462,-3.67319763183662,-0.23508728027462,313,-1.23240173339462,637,-0.697618701083357
"PreC.Bl_6.Sweep.45...mV.",4.16368835449364,-3.67235534668064,-0.22753112793364,313,-1.26268737793364,608,-0.756981182451771
"PreC.Bl_6.Sweep.46...mV.",4.0606323242201,-3.6742797851571,-0.244104003910099,314,-1.2615600585901,608,-0.731607273681802
"PreC.Bl_6.Sweep.47...mV.",4.12448303222795,-3.69052307128995,-0.25668518066795,312,-1.25888244628795,623,-0.742718128221893
"PreC.Bl_6.Sweep.48...mV.",4.08618164062624,-3.68823242187624,-0.22998046874624,317,-1.28588867187624,615,-0.729241563288484
"PreC.Bl_6.Sweep.49...mV.",4.12756896972779,-3.68872619628979,-0.22559143066779,316,-1.29981018066779,610,-0.72670272156074
"PreC.Bl_6.Sweep.50...mV.",4.03608337402483,-3.67963806152483,-0.24641052246483,310,-1.26508728027483,622,-0.68751781970415
"PreC.Bl_6.Sweep.51...mV.",4.13482849121218,-3.69598571777418,-0.22613708496218,316,-1.26678649902218,595,-0.716892192572159
"PreC.Bl_6.Sweep.52...mV.",4.04128479004036,-3.68606018066536,-0.254053344730359,317,-1.28737854004036,627,-0.735046813538504
"PreC.Bl_6.Sweep.53...mV.",4.11348449707154,-3.69539367675854,-0.23958312988154,315,-1.28511535644154,622,-0.732680088246809
"PreC.Bl_6.Sweep.54...mV.",3.99915832519657,-3.70252746582157,-0.24061340331657,315,-1.28309387206657,623,-0.731109290993567
"PreC.Bl_6.Sweep.55...mV.",4.10344299316527,-3.68901428222727,-0.24357971191527,311,-1.27995666503527,616,-0.738596399266155
"PreC.Bl_6.Sweep.56...mV.",4.00652404785288,-3.69524475097788,-0.24981018066288,310,-1.28984924316288,625,-0.736437787062616
"PreC.Bl_6.Sweep.57...mV.",4.1175189208997,-3.7232318115247,-0.2375140380897,317,-1.3214984130897,636,-0.736409967596065
"PreC.Bl_6.Sweep.58...mV.",3.98849853515753,-3.69797119140753,-0.24093994140753,315,-1.29501708984753,635,-0.739154152749294
"PreC.Bl_6.Sweep.59...mV.",4.08401855468889,-3.70560058593889,-0.22964843749889,313,-1.29959472655889,628,-0.780627829033769
"PreC.Bl_6.Sweep.60...mV.",3.97640502929809,-3.70052612304809,-0.24837768554809,315,-1.31649291991809,617,-0.753353856672664
"PreC.Bl_6.Sweep.61...mV.",4.05864013672004,-3.72050537109504,-0.22929443359004,310,-1.31266845703004,631,-0.762281009345531
"PreC.Bl_6.Sweep.62...mV.",3.97400146484501,-3.70605712890701,-0.23926025390501,314,-1.33789306640501,611,-0.79380285256307
"PreC.Bl_6.Sweep.63...mV.",4.02652465820426,-3.69266235351626,-0.23807250976426,312,-1.32632934570426,622,-0.722797418881327
"PreC.Bl_6.Sweep.64...mV.",3.90989562988408,-3.71092102050908,-0.24473449707408,316,-1.32566711425408,623,-0.74532515518951
"PreC.Bl_6.Sweep.65...mV.",3.9907879638685,-3.7252850341805,-0.2359051513685,314,-1.3272137451185,624,-0.787121584797689
"PreC.Bl_6.Sweep.66...mV.",3.91269470214977,-3.70822692871177,-0.22372985839977,312,-1.32480407714977,619,-0.789677434843785
"PreC.Bl_6.Sweep.67...mV.",4.03738403320453,-3.70962524414153,-0.22512817382453,316,-1.35061645507453,605,-0.768470288656796
"PreC.Bl_6.Sweep.68...mV.",3.93174194336072,-3.73826049804772,-0.24582885742072,314,-1.35666870117072,613,-0.779478597567011
"PreC.Bl_6.Sweep.69...mV.",4.00821777343883,-3.73905273437583,-0.233193359378829,312,-1.35013671874883,618,-0.731089516849987
"PreC.Bl_6.Sweep.70...mV.",3.87903747558712,-3.73438415527412,-0.24622497558712,315,-1.34424743652712,621,-0.745430904301378
"PreC.Bl_6.Sweep.71...mV.",3.99887084961058,-3.72665405273558,-0.25009155273058,313,-1.35055541992058,622,-0.790376916085644
"PreC.Bl_6.Sweep.72...mV.",3.87962890625115,-3.74046875000115,-0.21507812500115,310,-1.35948730469115,618,-0.761890557868327
"PreC.Bl_6.Sweep.73...mV.",3.98846313476698,-3.71746704101698,-0.23907348632698,314,-1.35601684570698,626,-0.798854917694217
"PreC.Bl_6.Sweep.74...mV.",3.91891479492297,-3.71932983398497,-0.24276733398297,317,-1.36276245117297,618,-0.787789250479428
"PreC.Bl_6.Sweep.75...mV.",4.00387451172008,-3.74813720703208,-0.22823974609008,314,-1.37631103516008,601,-0.78491797814034
"PreC.Bl_6.Sweep.76...mV.",3.92714538574342,-3.71596374511842,-0.22658386230342,313,-1.38869323730342,636,-0.791529173492463
"PreC.Bl_6.Sweep.77...mV.",4.00061462402462,-3.74731872558662,-0.24268005371462,307,-1.35535095214462,628,-0.78855559050976
"PreC.Bl_6.Sweep.78...mV.",3.93782714843882,-3.72359375000082,-0.23970703124882,309,-1.35298828124882,623,-0.758831768353446
"PreC.Bl_6.Sweep.79...mV.",4.02351501464963,-3.71711853027463,-0.214310913089629,315,-1.40327575683963,615,-0.801011305707211
"PreC.Bl_6.Sweep.80...mV.",3.9159368896497,-3.7187933349617,-0.2312445068397,318,-1.3976263427697,624,-0.785158318044186
"PreC.Bl_6.Sweep.81...mV.",4.02105346679814,-3.72198120117314,-0.23260131835814,312,-1.39287963866814,613,-0.778301644236517
"PreC.Bl_6.Sweep.82...mV.",3.94205017089991,-3.71622009277491,-0.22378845214991,318,-1.37185974120991,620,-0.777908184563028
"PreC.Bl_6.Sweep.83...mV.",4.02364013672004,-3.72761962890704,-0.22603271484004,308,-1.38264892578004,608,-0.793911161874664
"PreC.Bl_6.Sweep.84...mV.",3.95219543457166,-3.72209289550866,-0.21867492676166,317,-1.37834289551166,628,-0.7910378190447
"PreC.Bl_6.Sweep.85...mV.",4.00449768066531,-3.72495666504031,-0.234356079105309,318,-1.36106506347531,630,-0.764507251780288
"PreC.Bl_6.Sweep.86...mV.",3.94951293945422,-3.72307250976622,-0.22942016601422,311,-1.39397094726422,607,-0.773326450545934
"PreC.Bl_6.Sweep.87...mV.",4.03588745117303,-3.71423217773503,-0.22790405273303,311,-1.37780639648303,624,-0.776774322931211
"PreC.Bl_6.Sweep.88...mV.",3.9318505859385,-3.7139550781255,-0.2306787109385,313,-1.3756982421885,625,-0.810718894206871
"PreC.Bl_6.Sweep.89...mV.",4.05041503906378,-3.74645996093878,-0.23266601562378,317,-1.37707519531378,613,-0.779689187972298
"PreC.Bl_6.Sweep.90...mV.",3.944857788087,-3.734286499024,-0.231478881837,314,-1.359408569337,612,-0.754717846850568
