"Slice","field"
"Group","P21f-Control"
"Date","2018_10_18"
"Age","21"
"Sex","F"
"Weight","63"
"rSoln","rACSF"
"xSoln","Sucrose"
"Cut.Time","8:00"
"Rig","Luis"
"HP","xx"
"FirstIO","2018_10_18_1000.atf"
"StimFile","2018_10_18_1007.abf"
"StimMag","0"
"Comment","P21f-CS_21 original data"
"mVmax","-1.39417202758875"
"t_mVmax","3.68"
"LTD","-15.408128687818"
"Bl_slope","-0.087024444283996"
"Bl_var","3.14474249975873"
"De_Sl","0.485924351077447"
"-15","0.510932742247689"
"-14","1.62241580972118"
"-13","1.47941421207072"
"-12","1.0087766916333"
"-11","0.11953786522642"
"-10","2.16869519091863"
"-9","1.1050254547317"
"-8","0.758116302912399"
"-7","-2.40152473950181"
"-6","-1.58734731166587"
"-5","-0.147557797922587"
"-4","-1.74452357316312"
"-3","-2.65538730374321"
"-2","0.82523142842939"
"-1","3.72223724639954"
"0","-50.495825620072"
"1","-41.2261635246314"
"2","-36.382291815544"
"3","-39.9422122267081"
"4","-34.3835675298586"
"5","-39.1528640539832"
"6","-35.622227498191"
"7","-40.4566121657947"
"8","-36.6824731192618"
"9","-35.5324115601943"
"10","-30.5918532698878"
"11","-33.3078210514116"
"12","-31.8551612383516"
"13","-30.0315306575598"
"14","-27.9420337891392"
"15","-27.0469338869657"
"16","-30.1529792532766"
"17","-28.1546679338077"
"18","-27.7150937284324"
"19","-29.1114318858932"
"20","-28.9818884107379"
"21","-29.3286188452302"
"22","-27.0430658195069"
"23","-28.4353863039895"
"24","-21.8506321966448"
"25","-24.4062902132429"
"26","-26.0716662884083"
"27","-28.0114375514016"
"28","-24.4999114999721"
"29","-23.673792846741"
"30","-26.2029492963698"
"31","-26.8434230630066"
"32","-25.8109481972522"
"33","-20.1265480553891"
"34","-21.5491993592208"
"35","-24.7034231295774"
"36","-17.6428430408062"
"37","-21.1362036299466"
"38","-21.3694286540192"
"39","-22.2632786371008"
"40","-20.5560786059182"
"41","-20.6805940497653"
"42","-19.3505701831969"
"43","-22.4832044438297"
"44","-18.3741065359752"
"45","-24.035265858278"
"46","-21.1970165998949"
"47","-18.6392343409098"
"48","-20.4133630247771"
"49","-18.1327492035223"
"50","-18.8946869450849"
"51","-18.7557971936877"
"52","-16.0477323305807"
"53","-18.5528917962142"
"54","-19.8251175186648"
"55","-16.152773667629"
"56","-17.8160249717604"
"57","-13.0320931414845"
"58","-14.1156898601339"
"59","-15.9240617980823"
