"files" "n" "n1" "protocol" "p0" "Bl" "EPSC" "TestPulse_ON" "TestPulse_OFF" "Treatment"
"17713007.atf" 16000 10 "IV-1" 100 600 700 13500 15500 "Control"
"17713008.atf" 16000 10 "IV-2" 100 600 700 13500 15500 "Control"
"17713009.atf" 13000 7 "IO-3" 100 600 700 10500 12000 "Control"
"17713010.atf" 2600 4 "PP-4" 100 500 550 NA NA "Control"
"17713011.atf" 17000 5 "NMDAr-5" 10000 10200 10280 100 1100 "Control"
"17713012.atf" 17000 5 "NMDAr-6" 10000 10200 10280 100 1100 "Control"
"17713013.atf" 17000 5 "NMDAr-7" 10000 10200 10280 100 1100 "Control"
"17713014.atf" 17000 5 "NMDAr-8" 10000 10200 10280 100 1100 "Control"
"17713015.atf" 17000 5 "NMDAr-9" 10000 10200 10280 100 1100 "Control"
"17713016.atf" 17000 5 "NMDAr-10" 10000 10200 10280 100 1100 "Control"
"17713017.atf" 17000 5 "NMDAr-11" 10000 10200 10280 100 1100 "Control"
"17713018.atf" 17000 5 "NMDAr-12" 10000 10200 10280 100 1100 "Control"
"17713019.atf" 17000 5 "NMDAr-13" 10000 10200 10280 100 1100 "Control"
"17713020.atf" 17000 5 "NMDAr-14" 10000 10200 10280 100 1100 "100mM"
"17713021.atf" 17000 5 "NMDAr-15" 10000 10200 10280 100 1100 "100mM"
"17713022.atf" 17000 5 "NMDAr-16" 10000 10200 10280 100 1100 "100mM"
"17713023.atf" 17000 5 "NMDAr-17" 10000 10200 10280 100 1100 "100mM"
"17713024.atf" 17000 5 "NMDAr-18" 10000 10200 10280 100 1100 "Wash"
"17713025.atf" 17000 5 "NMDAr-19" 10000 10200 10280 100 1100 "Wash"
"17713026.atf" 17000 5 "NMDAr-20" 10000 10200 10280 100 1100 "Wash"
"17713027.atf" 17000 5 "NMDAr-21" 10000 10200 10280 100 1100 "Wash"
"17713028.atf" 17000 5 "NMDAr-22" 10000 10200 10280 100 1100 "Wash"
