"files" "n" "n1" "protocol" "p0" "Bl" "EPSC" "TestPulse_ON" "TestPulse_OFF" "Treatment"
"17518053.atf" 15000 10 "IV-1" 100 600 NA 734 6734 "Control"
"17518054.atf" 15000 10 "IV-2" 100 600 NA 734 6734 "Control"
"17518055.atf" 13000 7 "IO-3" 100 600 720 10500 12000 "Control"
"17518056.atf" 2600 4 "PP-4" 100 500 550 NA NA "Control"
"17518057.atf" 15000 5 "NMDAr-5" 8000 8200 8250 100 1100 "Control"
"17518058.atf" 15000 5 "NMDAr-6" 8000 8200 8250 100 1100 "Control"
"17518059.atf" 15000 5 "NMDAr-7" 8000 8200 8250 100 1100 "Control"
"17518060.atf" 15000 5 "NMDAr-8" 8000 8200 8250 100 1100 "Control"
"17518061.atf" 15000 5 "NMDAr-9" 8000 8200 8250 100 1100 "Control"
"17518062.atf" 15000 5 "NMDAr-10" 8000 8200 8250 100 1100 "Control"
"17518063.atf" 15000 5 "NMDAr-11" 8000 8200 8250 100 1100 "Control"
"17518064.atf" 15000 5 "NMDAr-12" 8000 8200 8250 100 1100 "Control"
"17518065.atf" 15000 5 "NMDAr-13" 8000 8200 8250 100 1100 "Control"
"17518066.atf" 15000 5 "NMDAr-14" 8000 8200 8250 100 1100 "50mM"
"17518067.atf" 15000 5 "NMDAr-15" 8000 8200 8250 100 1100 "50mM"
"17518068.atf" 15000 5 "NMDAr-16" 8000 8200 8250 100 1100 "50mM"
"17518069.atf" 15000 5 "NMDAr-17" 8000 8200 8250 100 1100 "50mM"
"17518070.atf" 15000 5 "NMDAr-18" 8000 8200 8250 100 1100 "50mM"
"17518071.atf" 15000 5 "NMDAr-19" 8000 8200 8250 100 1100 "50mM"
"17518072.atf" 2600 4 "PP-20" 100 500 550 NA NA "50mM"
"17518073.atf" 2600 4 "PP-21" 100 500 550 NA NA "50mM"
"17518074.atf" 15000 5 "NMDAr-22" 8000 8200 8250 100 1100 "Wash"
"17518075.atf" 15000 5 "NMDAr-23" 8000 8200 8250 100 1100 "Wash"
"17518076.atf" 15000 5 "NMDAr-24" 8000 8200 8250 100 1100 "Wash"
"17518077.atf" 15000 5 "NMDAr-25" 8000 8200 8250 100 1100 "Wash"
"17518078.atf" 15000 5 "NMDAr-26" 8000 8200 8250 100 1100 "Wash"
"17518079.atf" 15000 5 "NMDAr-27" 8000 8200 8250 100 1100 "Wash"
"17518080.atf" 15000 5 "NMDAr-28" 8000 8200 8250 100 1100 "Bath_EtOH"
"17518081.atf" 15000 5 "NMDAr-29" 8000 8200 8250 100 1100 "Bath_EtOH"
"17518082.atf" 15000 5 "NMDAr-30" 8000 8200 8250 100 1100 "Bath_EtOH"
"17518083.atf" 15000 5 "NMDAr-31" 8000 8200 8250 100 1100 "Bath_EtOH"
"17518084.atf" 2600 4 "PP-32" 100 500 550 NA NA "Bath_EtOH"
"17518085.atf" 2600 4 "PP-33" 100 500 550 NA NA "Bath_EtOH"
