Date,Age,Sex,Weight,rSoln,xSoln,Cut Time
2016_11_24,NA,NA,NA,rACSF,rACSF,NA
2016_11_25,NA,NA,NA,rACSF,rACSF,NA
2017_01_10,NA,NA,NA,rACSF,rACSF,NA
2017_11_08,12,M,23,rACSF,rACSF,NA
2017_11_09,13,M,27,rACSF,rACSF,NA
2017_11_10,14,M,29,rACSF,rACSF,NA
2017_11_15,19,M,45,rACSF,rACSF,NA
2017_11_16,20,F,53,rACSF,rACSF,NA
2017_11_17,21,F,51,rACSF,rACSF,NA
2017_11_18,22,F,53,rACSF,rACSF,NA
2017_11_23,27,F,88,rACSF,rACSF,NA
2017_11_24,28,M,99,rACSF,rACSF,NA
2017_11_25,29,M,99,rACSF,rACSF,NA
2017_04_21,29,F,97,rACSF,rACSF,NA
2017_05_03,13,F,28.7,rACSF,rACSF,NA
2017_05_05,15,M,38,rACSF,rACSF,NA
2017_05_10,20,M,52,rACSF,rACSF,NA
2017_05_11,21,M,47,rACSF,rACSF,NA
2017_05_16,26,M,80,rACSF,rACSF,NA
2017_05_17,27,F,73,rACSF,rACSF,NA
2017_06_12,28,M,100,rACSF,rACSF,NA
2017_06_13,29,F,98,rACSF,rACSF,NA
2017_06_15,13,F,28,rACSF,rACSF,NA
2017_06_16,14,M,31,rACSF,rACSF,NA
2017_06_17,15,M,31,rACSF,rACSF,NA
2017_06_22,20,M,48,rACSF,rACSF,NA
2017_06_23,21,F,49,rACSF,rACSF,NA
2017_06_24,22,F,56,rACSF,rACSF,NA
2017_06_29,26,M,86,rACSF,rACSF,NA
2017_06_30,27,M,90,rACSF,rACSF,NA
2017_07_01,28,M,93,rACSF,rACSF,NA
2017_07_06,14,M,31,rACSF,rACSF,NA
2017_07_07,15,M,35,rACSF,rACSF,NA
2017_07_12,20,M,49,rACSF,rACSF,NA
2017_07_19,27,F,83,rACSF,rACSF,NA
2017_07_21,29,M,113,rACSF,rACSF,NA
2017_08_16,13,M,35,rACSF,rACSF,NA
2017_08_17,14,F,37,rACSF,rACSF,NA
2017_08_31,28,M,95,rACSF,rACSF,NA
2017_09_01,29,F,104,rACSF,rACSF,NA
2017_09_09,13,M,28,rACSF,rACSF,NA
2017_09_10,14,M,32,rACSF,rACSF,NA
2017_09_11,15,F,32,rACSF,rACSF,NA
2017_09_18,21,M,51,rACSF,rACSF,NA
2017_09_22,27,M,90,rACSF,rACSF,NA
2017_09_23,28,M,86,rACSF,rACSF,NA
2018_01_11,60,F,225,rACSF,rACSF,NA
2018_01_14,14,M,29.5,rACSF,rACSF,NA
2018_01_15,15,M,35,rACSF,rACSF,NA
2018_01_17,13,M,35,rACSF,rACSF,NA
2018_01_17,13,F,33,rACSF,rACSF,NA
2018_01_18,14,F,37,rACSF,rACSF,NA
2018_01_19,15,F,40,rACSF,rACSF,NA
2018_01_20,20,F,57,rACSF,rACSF,NA
2018_01_22,22,M,60,rACSF,rACSF,NA
2018_01_24,20,F,62,rACSF,rACSF,NA
2018_01_25,21,M,66,rACSF,rACSF,NA
2018_01_27,27,F,88,rACSF,rACSF,NA
2018_01_28,28,F,96,rACSF,rACSF,NA
2018_01_31,27,M,108,rACSF,rACSF,NA
2018_02_01,28,M,111,rACSF,rACSF,NA
2018_02_26,15,F,35,rACSF,rACSF,NA
2018_03_11,28,F,92,rACSF,rACSF,NA
2018_04_20,14,M,38,rACSF,rACSF,NA
2018_04_21,15,x,x,rACSF,rACSF,NA
2018_06_20,14,F,28.9,rACSF,rACSF,NA
2018_06_21,15,M,32,rACSF,rACSF,NA
2018_06_26,20,F,51.8,rACSF,rACSF,NA
2018_06_28,22,F,57,rACSF,rACSF,NA
2018_07_04,28,M,99.7,rACSF,rACSF,NA
2018_07_05,29,F,99,rACSF,rACSF,NA
2018_08_01,16,F,40,rACSF,rACSF,NA
2018_08_07,22,M,72,rACSF,Sucrose,NA
2018_08_08,23,F,70,rACSF,Sucrose,NA
2018_08_13,28,F,96.8,rACSF,Sucrose,NA
2018_08_14,29,F,107,rACSF,Sucrose,NA
2018_08_15,30,M,135,rACSF,Sucrose,NA
2018_10_10,13,M,25.9,rACSF,rACSF,9:00
2018_10_11,14,M,31,rACSF,Sucrose,6:45
2018_10_12,15,F,33,rACSF,Sucrose,6:50
2018_10_17,20,M,63.5,rACSF,Sucrose,7:00
2018_10_18,21,F,63,rACSF,Sucrose,8:00
2018_10_19,22,M,73,rACSF,Sucrose,11:45
2018_10_24,27,F,88,rACSF,rACSF,9:15
2018_10_26,29,F,96,rACSF,Sucrose,2:45
2018_11_29,13,M,27.3,rACSF,rACSF,10:15
2018_11_30,14,F,27.9,rACSF,rACSF,11:30
2018_12_06,20,M,45,rACSF,rACSF,8:45
2018_12_08,22,F,63,rACSF,rACSF,2:40
2018_12_13,27,F,88,rACSF,rACSF,12:45
2018_12_14,28,M,85,rACSF,rACSF,2:55
2018_12_15,29,F,90,rACSF,rACSF,12:45
