"files" "n" "n1" "protocol" "p0" "Bl" "EPSC" "TestPulse_ON" "TestPulse_OFF" "Treatment"
"17503032.atf" 15000 10 "IV-1" 100 600 NA 734 6734 "Control"
"17503033.atf" 15000 10 "IV-2" 100 600 NA 734 6734 "Control"
"17503034.atf" 13000 6 "IO-3" 100 600 720 10500 12000 "Control"
"17503035.atf" 2600 4 "PP-4" 100 500 550 NA NA "Control"
"17503036.atf" 15000 5 "NMDAr-5" 8000 8200 8250 100 1100 "Control"
"17503037.atf" 15000 5 "NMDAr-6" 8000 8200 8250 100 1100 "Control"
"17503038.atf" 15000 5 "NMDAr-7" 8000 8200 8250 100 1100 "Control"
"17503039.atf" 15000 5 "NMDAr-8" 8000 8200 8250 100 1100 "Control"
"17503040.atf" 15000 5 "NMDAr-9" 8000 8200 8250 100 1100 "Control"
"17503041.atf" 15000 5 "NMDAr-10" 8000 8200 8250 100 1100 "Control"
"17503042.atf" 15000 5 "NMDAr-11" 8000 8200 8250 100 1100 "50mM"
"17503043.atf" 15000 5 "NMDAr-12" 8000 8200 8250 100 1100 "50mM"
"17503044.atf" 15000 4 "NMDAr-13" 8000 8200 8250 100 1100 "50mM"
"17503045.atf" 15000 5 "NMDAr-14" 8000 8200 8250 100 1100 "50mM"
"17503046.atf" 15000 5 "NMDAr-15" 8000 8200 8250 100 1100 "50mM"
"17503047.atf" 15000 5 "NMDAr-16" 8000 8200 8250 100 1100 "50mM"
"17503048.atf" 15000 5 "NMDAr-17" 8000 8200 8250 100 1100 "50mM"
"17503049.atf" 2600 4 "PP-18" 100 500 550 NA NA "50mM"
"17503050.atf" 15000 5 "NMDAr-19" 8000 8200 8250 100 1100 "Wash"
"17503051.atf" 15000 5 "NMDAr-20" 8000 8200 8250 100 1100 "Wash"
"17503052.atf" 15000 5 "NMDAr-21" 8000 8200 8250 100 1100 "Wash"
"17503053.atf" 15000 5 "NMDAr-22" 8000 8200 8250 100 1100 "Wash"
"17503054.atf" 15000 5 "NMDAr-23" 8000 8200 8250 100 1100 "Wash"
"17503055.atf" 15000 5 "NMDAr-24" 8000 8200 8250 100 1100 "Wash"
"17503056.atf" 15000 5 "NMDAr-25" 8000 8200 8250 100 1100 "Wash"
"17503057.atf" 15000 5 "NMDAr-26" 8000 8200 8250 100 1100 "Wash"
"17503058.atf" 15000 5 "NMDAr-27" 8000 8200 8250 100 1100 "Wash"
"17503059.atf" 15000 5 "NMDAr-28" 8000 8200 8250 100 1100 "Wash"
"17503060.atf" 15000 5 "NMDAr-29" 8000 8200 8250 100 1100 "Wash"
"17503061.atf" 15000 5 "NMDAr-30" 8000 8200 8250 100 1100 "Wash"
"17503062.atf" 15000 5 "NMDAr-31" 8000 8200 8250 100 1100 "Wash"
"17503063.atf" 15000 5 "NMDAr-32" 8000 8200 8250 100 1100 "Wash"
"17503064.atf" 15000 5 "NMDAr-33" 8000 8200 8250 100 1100 "Wash"
"17503065.atf" 15000 5 "NMDAr-34" 8000 8200 8250 100 1100 "Wash"
"17503066.atf" 15000 5 "NMDAr-35" 8000 8200 8250 100 1100 "Wash"
"17503067.atf" 15000 5 "NMDAr-36" 8000 8200 8250 100 1100 "Wash"
"17503068.atf" 15000 5 "NMDAr-37" 8000 8200 8250 100 1100 "Wash"
"17503069.atf" 15000 5 "NMDAr-38" 8000 8200 8250 100 1100 "Wash"
"17503070.atf" 15000 5 "NMDAr-39" 8000 8200 8250 100 1100 "Wash"
