"files" "n" "n1" "protocol" "p0" "Bl" "EPSC" "TestPulse_ON" "TestPulse_OFF" "Treatment"
"17714000.atf" 16000 10 "IV-1" 100 600 NA 13500 15500 "Control"
"17714001.atf" 16000 10 "IV-2" 100 600 NA 13500 15500 "Control"
"17714002.atf" 13000 7 "IO-3" 100 600 720 10500 12000 "Control"
"17714004.atf" 2600 4 "PP-4" 100 500 550 NA NA "Control"
"17714005.atf" 15000 5 "NMDAr-5" 8000 8200 8250 100 1100 "Control"
"17714006.atf" 15000 5 "NMDAr-6" 8000 8200 8250 100 1100 "Control"
"17714007.atf" 15000 5 "NMDAr-7" 8000 8200 8250 100 1100 "Control"
"17714008.atf" 15000 5 "NMDAr-8" 8000 8200 8250 100 1100 "Control"
"17714009.atf" 15000 5 "NMDAr-9" 8000 8200 8250 100 1100 "Control"
"17714010.atf" 15000 5 "NMDAr-10" 8000 8200 8250 100 1100 "Control"
"17714011.atf" 15000 5 "NMDAr-11" 8000 8200 8250 100 1100 "50mM"
"17714012.atf" 15000 5 "NMDAr-12" 8000 8200 8250 100 1100 "50mM"
"17714013.atf" 15000 5 "NMDAr-13" 8000 8200 8250 100 1100 "50mM"
"17714014.atf" 15000 5 "NMDAr-14" 8000 8200 8250 100 1100 "50mM"
"17714015.atf" 2600 4 "PP-15" 100 500 550 NA NA "50mM"
"17714016.atf" 15000 5 "NMDAr-16" 8000 8200 8250 100 1100 "Wash"
"17714017.atf" 15000 5 "NMDAr-17" 8000 8200 8250 100 1100 "Wash"
"17714018.atf" 15000 5 "NMDAr-18" 8000 8200 8250 100 1100 "Wash"
"17714019.atf" 15000 5 "NMDAr-19" 8000 8200 8250 100 1100 "Wash"
